order_details_id|order_id|order_date|order_time|item_id|item_name|category|price
1|1|1/1/23|11:38:36 AM|109|Korean Beef Bowl|Asian|17.95
94|38|1/1/23|5:03:00 PM|109|Korean Beef Bowl|Asian|17.95
110|45|1/1/23|5:55:48 PM|109|Korean Beef Bowl|Asian|17.95
125|52|1/1/23|6:53:02 PM|109|Korean Beef Bowl|Asian|17.95
175|76|1/2/23|12:21:17 PM|109|Korean Beef Bowl|Asian|17.95
179|77|1/2/23|12:22:46 PM|109|Korean Beef Bowl|Asian|17.95
202|86|1/2/23|1:40:31 PM|109|Korean Beef Bowl|Asian|17.95
234|100|1/2/23|5:46:17 PM|109|Korean Beef Bowl|Asian|17.95
246|105|1/2/23|6:12:01 PM|109|Korean Beef Bowl|Asian|17.95
256|108|1/2/23|6:25:25 PM|109|Korean Beef Bowl|Asian|17.95
286|120|1/2/23|7:35:07 PM|109|Korean Beef Bowl|Asian|17.95
304|130|1/2/23|9:14:55 PM|109|Korean Beef Bowl|Asian|17.95
314|133|1/2/23|10:00:17 PM|109|Korean Beef Bowl|Asian|17.95
336|143|1/3/23|1:41:36 PM|109|Korean Beef Bowl|Asian|17.95
357|146|1/3/23|2:22:10 PM|109|Korean Beef Bowl|Asian|17.95
364|152|1/3/23|3:09:42 PM|109|Korean Beef Bowl|Asian|17.95
385|161|1/3/23|4:43:46 PM|109|Korean Beef Bowl|Asian|17.95
389|163|1/3/23|4:54:54 PM|109|Korean Beef Bowl|Asian|17.95
404|170|1/3/23|5:21:31 PM|109|Korean Beef Bowl|Asian|17.95
422|179|1/3/23|6:20:14 PM|109|Korean Beef Bowl|Asian|17.95
433|184|1/3/23|6:59:05 PM|109|Korean Beef Bowl|Asian|17.95
505|216|1/4/23|2:31:56 PM|109|Korean Beef Bowl|Asian|17.95
513|220|1/4/23|3:31:59 PM|109|Korean Beef Bowl|Asian|17.95
568|247|1/4/23|8:55:29 PM|109|Korean Beef Bowl|Asian|17.95
571|248|1/4/23|8:58:19 PM|109|Korean Beef Bowl|Asian|17.95
584|255|1/5/23|11:23:35 AM|109|Korean Beef Bowl|Asian|17.95
645|284|1/5/23|4:58:16 PM|109|Korean Beef Bowl|Asian|17.95
690|304|1/5/23|8:07:58 PM|109|Korean Beef Bowl|Asian|17.95
696|306|1/5/23|8:37:40 PM|109|Korean Beef Bowl|Asian|17.95
700|308|1/5/23|9:59:46 PM|109|Korean Beef Bowl|Asian|17.95
705|310|1/6/23|11:40:48 AM|109|Korean Beef Bowl|Asian|17.95
716|314|1/6/23|12:11:58 PM|109|Korean Beef Bowl|Asian|17.95
719|316|1/6/23|12:29:34 PM|109|Korean Beef Bowl|Asian|17.95
724|317|1/6/23|12:31:00 PM|109|Korean Beef Bowl|Asian|17.95
756|330|1/6/23|1:27:11 PM|109|Korean Beef Bowl|Asian|17.95
775|337|1/6/23|3:03:12 PM|109|Korean Beef Bowl|Asian|17.95
792|346|1/6/23|4:30:00 PM|109|Korean Beef Bowl|Asian|17.95
806|351|1/6/23|5:37:29 PM|109|Korean Beef Bowl|Asian|17.95
825|360|1/6/23|6:50:38 PM|109|Korean Beef Bowl|Asian|17.95
838|367|1/6/23|8:05:12 PM|109|Korean Beef Bowl|Asian|17.95
844|370|1/6/23|9:02:30 PM|109|Korean Beef Bowl|Asian|17.95
856|377|1/7/23|12:03:18 PM|109|Korean Beef Bowl|Asian|17.95
866|384|1/7/23|12:51:46 PM|109|Korean Beef Bowl|Asian|17.95
